Yes,Sì
"Please check the shipping address information. Invalid country code:","Controlla le informazioni sull'indirizzo di spedizione. Codice paese non valido:"
"Please check the shipping address information. Invalid region:","Controlla le informazioni sull'indirizzo di spedizione. Regione non valida:"
Automatic,Automatico
Manual,Manuale
"On Status Change","Alla modifica dello stato"
"Wallet Button","Pulsante del portafoglio"
"Checkout Default","Checkout predefinito"
"Payment Methods List","Elenco metodi di pagamento"
"On Top","In cima"
Dark,Scuro
Light,Chiaro
"Light Outline","Contorno chiaro"
"Default (Only logo)","Predefinito (Solo logo)"
Book,Libro
Buy,Acquista
Donate,Donazione
Stripe,Stripe
Night,Notte
Flat,Piatto
None,Nessuno
"Clean cart and checkout only that product","Svuota il carrello e effettua il checkout solo con quel prodotto"
"Add to existing cart and checkout","Aggiungi al carrello esistente e procedi al checkout"
"Add to existing cart and checkout","Aggiungi al carrello esistente e procedi al checkout (incrementi di quantità)"
"Enforce for all if available","Applica per tutti se disponibile"
"Enforce if available only if amount exceeds threshold","Applica solo se disponibile e solo se l'importo supera la soglia"
"Automatic depending on fraud score","Automatico in base al punteggio di frode"
"Apple Pay","Apple Pay"
"Google Pay","Google Pay"
Link,Link
"Payment intent %1 cancelled successfully.","Intento di pagamento %1 annullato con successo."
"Capture failed. Invalid Payment Intent Id.","Cattura fallita. Id intento di pagamento non valido."
"Can not get Order ID nor Quote ID from event.","Impossibile ottenere l'ID ordine o l'ID preventivo dall'evento."
"Please complete account setup.","Completa la configurazione dell'account."
"Setup complete","Configurazione completata"
"Apple association file correctly placed","File di associazione di Apple posizionato correttamente"
"Apple association file error: ","Errore nel file di associazione di Apple: "
"Store domain successfully registered","Dominio del negozio registrato con successo"
"Order #%order_id is Awaiting Payment","L'ordine #%order_id è in attesa di pagamento"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Grazie per il tuo ordine da %store_name."
"Please click on to following link to finalize payment:","Fai clic sul seguente link per finalizzare il pagamento:"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Se hai domande sul tuo ordine, puoi inviarci un'e-mail a <a href=""mailto:%store_email"">%store_email</a>"
"Your Order <span class=""no-link"">#%increment_id</span>","Il tuo ordine <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Effettuato il <span class=""no-link"">%created_at</span>"
"Billing Info","Informazioni di fatturazione"
"Payment Method","Metodo di pagamento"
"Place Order","Effettua l'ordine"
"Another step will appear to securely submit your payment information.","Verrà visualizzato un altro passo per inviare in modo sicuro le tue informazioni di pagamento."
"Checkout with","Checkout con"
"Please agree to the terms and conditions before placing the order.","Si prega di accettare i termini e le condizioni prima di effettuare l'ordine."
"Please complete all required fields before placing the order.","Si prega di compilare tutti i campi obbligatori prima di effettuare l'ordine."
"Payment Methods Status","Stato dei metodi di pagamento"
"UI component embedded into your self-hosted checkout.","Componente UI incorporato nel tuo checkout auto-ospitato."
Enabled,Abilitato
Title,Titolo
"Capture Method","Metodo di cattura"
"When a payment is authorised, the bank guarantees the amount and holds it on the customer's card for up to 7 days.","Quando un pagamento viene autorizzato, la banca garantisce l'importo e lo trattiene sulla carta del cliente per un massimo di 7 giorni."
"Status Triggering Capture","Stato che attiva la cattura"
"3D Secure","3D Secure"
"3D Secure Threshold","Soglia 3D Secure"
"Order minimum amount to trigger 3D Secure.","Importo minimo dell'ordine per attivare 3D Secure."
Theme,Tema
"Sort Order","Ordine di ordinamento"
"Alternative Payment Types","Tipi di pagamento alternativi"
"Allow customers to checkout via Apple Pay, Google Pay, or similar from any page of your website.","Consenti ai clienti di effettuare il checkout tramite Apple Pay, Google Pay o simili da qualsiasi pagina del tuo sito web."
"Business Name","Nome aziendale"
"This is the text that appears as PAY [BUSINESS NAME] in the payment modal. If left empty will show as 'GRAND TOTAL'.","Questo è il testo che appare come PAGA [NOME AZIENDALE] nel modulo di pagamento. Se lasciato vuoto, verrà visualizzato come 'TOTALE GENERALE'."
Location,Posizione
"Request Agreements","Richiedi accordi"
"Request the customer to accept agreements in express locations (Cart, Minicart & Product Page).","Richiedi al cliente di accettare accordi in posizioni express (Carrello, Mini-carrello e Pagina del prodotto)."
"Checkout Location","Posizione del checkout"
"Place Order Button","Pulsante per effettuare l'ordine"
"Product Page Behavior","Comportamento della pagina del prodotto"
"Discount Code Input","Inserimento del codice sconto"
"Display coupon code input for Minicart and Product Page locations.","Mostra l'inserimento del codice coupon per Mini-carrello e Pagina del prodotto."
Wallets,Portafogli
"Block Delivery Methods","Blocca i metodi di consegna"
"Block specific delivery methods even if quote and shipping address rules allow them.","Blocca metodi di consegna specifici anche se le regole di preventivo e indirizzo di spedizione lo consentono."
"Button Type","Tipo di pulsante"
"Button Theme","Tema del pulsante"
"Button Height","Altezza del pulsante"
"Pay by Link","Paga tramite link"
"Customer receives an email afterwards to finalize payment from Stripe-hosted checkout.","Il cliente riceve un'e-mail successivamente per finalizzare il pagamento dal checkout ospitato da Stripe."
"Note for Customer in Checkout","Nota per il cliente durante il checkout"
"Note for Customer in Success","Nota per il cliente in caso di successo"
"Note for Customer after Payment Confirmation","Nota per il cliente dopo la conferma del pagamento"
"Email Sender","Mittente dell'e-mail"
"Email Template","Modello di e-mail"
"Display Payment Method Logos","Mostra i loghi dei metodi di pagamento"
"The selected options will display the corresponding payment logos on the checkout page.","Le opzioni selezionate mostreranno i loghi di pagamento corrispondenti nella pagina di checkout."
